Date,Category,Description,Amount,Type
2024-03-31,Shopping,Bus fare,3485,Expense
2024-03-31,Education,New clothes,3870,Expense
2024-03-31,Healthcare,Bought items,4058,Expense
2024-03-31,Insurance,Insurance premium,228,Expense
2024-03-31,Shopping,Movie,3345,Income
2024-03-31,Miscellaneous,Bought items,3984,Expense
2024-03-31,Transport,Insurance premium,3594,Expense
2024-03-31,Groceries,Bought items,2213,Income
2024-03-31,Insurance,Bought items,1113,Expense
2024-03-31,Groceries,Movie,1722,Expense
2024-03-31,Healthcare,Insurance premium,4938,Expense
2024-03-31,Miscellaneous,Snacks,3797,Expense
2024-04-01,Education,Snacks,636,Expense
2024-04-01,Utilities,Bus fare,1846,Income
2024-04-01,Healthcare,Insurance premium,4291,Expense
2024-04-01,Shopping,Bus fare,4983,Income
2024-04-01,Utilities,Doctor visit,4370,Expense
2024-04-01,Education,Insurance premium,3406,Expense
2024-04-01,Transport,Insurance premium,4621,Expense
2024-04-01,Rent,Doctor visit,4986,Expense
2024-04-01,Rent,Online course,332,Income
2024-04-01,Groceries,Snacks,4899,Expense
2024-04-01,Education,Maintenance,503,Expense
2024-04-01,Rent,Movie,3514,Income
2024-04-01,Transport,Monthly bill,4577,Income
2024-04-01,Miscellaneous,Maintenance,2655,Expense
2024-04-01,Groceries,New clothes,1399,Expense
2024-04-01,Education,New clothes,1508,Expense
2024-04-01,Miscellaneous,Bus fare,248,Income
2024-04-01,Insurance,Bought items,609,Expense
2024-04-01,Healthcare,New clothes,2805,Expense
2024-04-01,Rent,Monthly bill,3183,Income
2024-04-01,Groceries,New clothes,4262,Expense
2024-04-01,Education,Doctor visit,1165,Expense
2024-04-01,Shopping,Bought items,3294,Expense
2024-04-01,Miscellaneous,Snacks,1249,Income
2024-04-01,Entertainment,Online course,2153,Expense
2024-04-01,Insurance,Insurance premium,2745,Expense
2024-04-01,Groceries,Insurance premium,617,Expense
2024-04-01,Rent,Insurance premium,4355,Income
2024-04-01,Utilities,Movie,4443,Expense
2024-04-01,Transport,Bus fare,4230,Expense
2024-04-01,Education,Snacks,4377,Expense
2024-04-01,Miscellaneous,Insurance premium,3078,Expense
2024-04-01,Insurance,Bus fare,4321,Expense
2024-04-01,Healthcare,Insurance premium,1540,Expense
2024-04-01,Miscellaneous,Snacks,3491,Expense
2024-04-01,Utilities,New clothes,2165,Expense
2024-04-01,Groceries,Doctor visit,4953,Expense
2024-04-01,Miscellaneous,Snacks,4045,Expense
2024-04-01,Education,Monthly bill,2446,Expense
2024-04-01,Healthcare,Maintenance,944,Income
2024-04-01,Transport,Monthly bill,3663,Expense
2024-04-01,Miscellaneous,New clothes,124,Expense
2024-04-01,Groceries,Insurance premium,2975,Expense
2024-04-01,Insurance,Bus fare,4344,Expense
2024-04-01,Miscellaneous,Maintenance,2214,Expense
2024-04-01,Transport,Doctor visit,2627,Expense
2024-04-01,Groceries,Bus fare,4864,Expense
2024-04-01,Transport,Maintenance,3391,Expense
2024-04-01,Miscellaneous,Insurance premium,1383,Expense
2024-04-01,Insurance,Monthly bill,4430,Expense
2024-04-01,Groceries,Movie,250,Expense
2024-04-01,Groceries,Doctor visit,3323,Income
2024-04-01,Entertainment,Maintenance,793,Expense
2024-04-02,Healthcare,Online course,3266,Income
2024-04-02,Insurance,New clothes,4315,Income
2024-04-02,Entertainment,Monthly bill,1736,Income
2024-04-02,Utilities,Movie,1459,Income
2024-04-02,Entertainment,Movie,2003,Expense
2024-04-02,Shopping,Bought items,206,Expense
2024-04-02,Shopping,New clothes,4337,Expense
2024-04-02,Transport,Maintenance,507,Income
2024-04-02,Miscellaneous,Movie,2067,Expense
2024-04-02,Shopping,New clothes,2202,Expense
2024-04-02,Entertainment,Monthly bill,3134,Expense
2024-04-02,Groceries,Doctor visit,3433,Expense
2024-04-02,Entertainment,Bought items,3635,Income
2024-04-02,Insurance,Bus fare,538,Income
2024-04-02,Rent,Movie,4454,Expense
2024-04-02,Entertainment,Bought items,4987,Expense
2024-04-02,Healthcare,Movie,3487,Income
2024-04-02,Healthcare,Insurance premium,760,Expense
2024-04-02,Insurance,New clothes,4470,Income
2024-04-02,Education,Bought items,447,Expense
2024-04-02,Insurance,Snacks,4454,Expense
2024-04-02,Shopping,Maintenance,1516,Expense
2024-04-02,Insurance,Snacks,2112,Expense
2024-04-02,Groceries,Movie,1673,Expense
2024-04-02,Healthcare,Doctor visit,3104,Expense
2024-04-02,Utilities,Bought items,175,Expense
2024-04-02,Education,New clothes,2873,Income
2024-04-02,Rent,Bus fare,3106,Expense
2024-04-02,Miscellaneous,Monthly bill,787,Expense
2024-04-02,Groceries,Bus fare,3981,Income
2024-04-02,Transport,Movie,3808,Expense
2024-04-02,Healthcare,Movie,1569,Expense
2024-04-02,Transport,Doctor visit,3728,Expense
2024-04-02,Entertainment,Monthly bill,3988,Expense
2024-04-02,Rent,Doctor visit,986,Expense
2024-04-02,Miscellaneous,Movie,2592,Income
2024-04-02,Rent,Bus fare,2086,Expense
2024-04-02,Rent,Snacks,1543,Expense
2024-04-02,Groceries,Snacks,3378,Expense
2024-04-02,Transport,Snacks,1329,Expense
2024-04-02,Groceries,Online course,2564,Income
2024-04-02,Healthcare,Maintenance,896,Expense
2024-04-02,Groceries,Online course,117,Expense
2024-04-02,Healthcare,New clothes,963,Expense
2024-04-02,Rent,Online course,3911,Expense
2024-04-02,Shopping,Monthly bill,1654,Expense
2024-04-02,Insurance,Doctor visit,2992,Expense
2024-04-02,Insurance,Monthly bill,258,Expense
2024-04-02,Utilities,Maintenance,3237,Expense
2024-04-02,Shopping,Online course,1013,Expense
2024-04-02,Miscellaneous,Bus fare,4304,Expense
2024-04-02,Education,Bus fare,2411,Expense
2024-04-02,Insurance,Bought items,3164,Expense
2024-04-02,Shopping,Bus fare,3172,Expense
2024-04-02,Healthcare,Maintenance,2133,Expense
2024-04-02,Healthcare,Insurance premium,2693,Expense
2024-04-02,Education,Movie,3564,Expense
2024-04-02,Groceries,Online course,4999,Expense
2024-04-03,Rent,Maintenance,4318,Expense
2024-04-03,Healthcare,Doctor visit,2481,Income
2024-04-03,Shopping,Movie,1632,Expense
2024-04-03,Groceries,Monthly bill,2662,Expense
2024-04-03,Utilities,Bought items,1987,Expense
2024-04-03,Education,Snacks,1986,Expense
2024-04-03,Insurance,Online course,824,Expense
2024-04-03,Education,Movie,4848,Income
2024-04-03,Utilities,Online course,1217,Expense
2024-04-03,Insurance,Bus fare,2602,Expense
2024-04-03,Groceries,Movie,854,Expense
2024-04-03,Insurance,Bus fare,2303,Expense
2024-04-03,Miscellaneous,Bus fare,1771,Expense
2024-04-03,Miscellaneous,Movie,114,Expense
2024-04-03,Education,Bought items,1676,Expense
2024-04-03,Groceries,Movie,4147,Expense
2024-04-03,Healthcare,Bought items,3246,Income
2024-04-03,Miscellaneous,Online course,4052,Expense
2024-04-03,Groceries,Bought items,3801,Expense
2024-04-03,Miscellaneous,Movie,3217,Expense
2024-04-03,Transport,Monthly bill,3122,Expense
2024-04-03,Shopping,Monthly bill,807,Expense
2024-04-03,Utilities,Movie,660,Expense
2024-04-03,Rent,Maintenance,2343,Expense
2024-04-03,Groceries,Bought items,3020,Expense
2024-04-03,Rent,Movie,3480,Expense
2024-04-03,Insurance,New clothes,978,Expense
2024-04-03,Entertainment,Doctor visit,1814,Expense
2024-04-03,Shopping,Monthly bill,1636,Expense
2024-04-03,Healthcare,New clothes,401,Income
2024-04-03,Miscellaneous,Monthly bill,1707,Expense
2024-04-03,Transport,Bought items,4462,Expense
2024-04-03,Insurance,Movie,643,Expense
2024-04-03,Transport,Maintenance,2006,Income
2024-04-03,Utilities,Monthly bill,2573,Income
2024-04-03,Insurance,Movie,1465,Expense
2024-04-03,Entertainment,Maintenance,4020,Expense
2024-04-03,Entertainment,Monthly bill,241,Expense
2024-04-03,Shopping,Doctor visit,1823,Expense
2024-04-03,Transport,Movie,2481,Expense
2024-04-03,Shopping,Doctor visit,2949,Expense
2024-04-03,Healthcare,Monthly bill,3247,Expense
2024-04-03,Shopping,Bought items,3949,Expense
2024-04-03,Rent,Doctor visit,4616,Expense
2024-04-03,Education,Doctor visit,674,Expense
2024-04-03,Healthcare,New clothes,2000,Income
2024-04-03,Insurance,New clothes,4579,Expense
2024-04-04,Miscellaneous,Maintenance,2572,Expense
2024-04-04,Entertainment,Insurance premium,4818,Expense
2024-04-04,Transport,Online course,2752,Expense
2024-04-04,Education,Snacks,3980,Expense
2024-04-04,Rent,Monthly bill,2237,Expense
2024-04-04,Shopping,New clothes,2008,Income
2024-04-04,Groceries,Insurance premium,850,Income
2024-04-04,Entertainment,Monthly bill,3796,Expense
2024-04-04,Miscellaneous,Movie,3567,Income
2024-04-04,Utilities,Maintenance,596,Income
2024-04-04,Insurance,New clothes,1510,Expense
2024-04-04,Miscellaneous,Bought items,2614,Expense
2024-04-04,Entertainment,Doctor visit,4189,Income
2024-04-04,Education,Monthly bill,4052,Expense
2024-04-04,Insurance,Bus fare,3704,Expense
2024-04-04,Education,Monthly bill,2758,Expense
2024-04-04,Utilities,Movie,2846,Income
2024-04-04,Miscellaneous,Insurance premium,2817,Expense
2024-04-04,Groceries,Doctor visit,2073,Expense
2024-04-04,Transport,Online course,1035,Income
2024-04-04,Insurance,Monthly bill,3993,Expense
2024-04-04,Entertainment,New clothes,4892,Expense
2024-04-04,Insurance,Insurance premium,4044,Expense
2024-04-04,Utilities,Bought items,2342,Expense
2024-04-04,Rent,Movie,3859,Expense
2024-04-04,Miscellaneous,Insurance premium,558,Expense
2024-04-04,Groceries,New clothes,923,Expense
2024-04-04,Transport,Snacks,2883,Expense
2024-04-04,Groceries,Maintenance,325,Expense
2024-04-04,Insurance,Insurance premium,4594,Expense
2024-04-04,Entertainment,Online course,440,Expense
2024-04-04,Groceries,Bus fare,4791,Expense
2024-04-04,Transport,New clothes,4529,Expense
2024-04-04,Healthcare,Snacks,784,Expense
2024-04-04,Entertainment,New clothes,4023,Expense
2024-04-04,Entertainment,Insurance premium,1518,Expense
2024-04-04,Miscellaneous,Doctor visit,1660,Expense
2024-04-04,Shopping,Monthly bill,2571,Expense
2024-04-04,Shopping,Doctor visit,3301,Expense
2024-04-04,Entertainment,New clothes,4426,Expense
2024-04-04,Insurance,Snacks,876,Expense
2024-04-04,Healthcare,Maintenance,2242,Expense
2024-04-04,Shopping,Doctor visit,2656,Expense
2024-04-04,Healthcare,Snacks,1674,Expense
2024-04-05,Rent,Bought items,986,Expense
2024-04-05,Miscellaneous,Insurance premium,3019,Income
2024-04-05,Groceries,Online course,4263,Expense
2024-04-05,Education,Snacks,4062,Expense
2024-04-05,Transport,Snacks,4910,Expense
2024-04-05,Education,Insurance premium,4884,Expense
2024-04-05,Miscellaneous,Movie,4119,Expense
2024-04-05,Utilities,Maintenance,3248,Expense
2024-04-05,Rent,Maintenance,134,Income
2024-04-05,Insurance,New clothes,1315,Expense
2024-04-05,Healthcare,Movie,4676,Expense
2024-04-05,Utilities,Insurance premium,3814,Expense
2024-04-05,Entertainment,Insurance premium,1597,Expense
2024-04-05,Insurance,Monthly bill,1565,Expense
2024-04-05,Rent,New clothes,4756,Expense
2024-04-05,Entertainment,Snacks,1201,Expense
2024-04-05,Insurance,Movie,1413,Expense
2024-04-05,Healthcare,Online course,482,Expense
2024-04-05,Rent,Movie,3468,Expense
2024-04-05,Rent,Maintenance,4059,Expense
2024-04-05,Entertainment,Bought items,1163,Expense
2024-04-05,Entertainment,Movie,3708,Expense
2024-04-05,Rent,Movie,3003,Expense
2024-04-05,Insurance,New clothes,831,Expense
2024-04-05,Groceries,Monthly bill,4186,Expense
2024-04-05,Entertainment,Bought items,1853,Expense
2024-04-05,Healthcare,Monthly bill,642,Expense
2024-04-05,Insurance,Insurance premium,3914,Expense
2024-04-05,Transport,Movie,3530,Expense
2024-04-05,Insurance,Movie,3249,Income
2024-04-05,Entertainment,Online course,708,Income
2024-04-05,Miscellaneous,Online course,3289,Expense
2024-04-05,Groceries,Monthly bill,1742,Expense
2024-04-05,Insurance,Monthly bill,429,Expense
2024-04-05,Rent,Movie,1852,Income
2024-04-05,Groceries,Movie,3669,Income
2024-04-05,Education,Bus fare,4408,Expense
2024-04-05,Healthcare,New clothes,1429,Expense
2024-04-05,Utilities,Bus fare,1721,Expense
2024-04-05,Healthcare,Doctor visit,1220,Expense
2024-04-05,Rent,Movie,3236,Expense
2024-04-05,Entertainment,Bought items,2900,Expense
2024-04-05,Insurance,Maintenance,1073,Expense
2024-04-05,Rent,Monthly bill,1758,Expense
2024-04-05,Groceries,Doctor visit,248,Income
2024-04-05,Transport,Insurance premium,2145,Expense
2024-04-05,Miscellaneous,Bus fare,1583,Expense
2024-04-05,Transport,Monthly bill,2653,Expense
2024-04-05,Miscellaneous,Movie,2716,Expense
2024-04-05,Rent,Monthly bill,502,Expense
2024-04-05,Transport,Maintenance,3755,Expense
2024-04-05,Miscellaneous,Monthly bill,2312,Expense
2024-04-05,Utilities,Bought items,4829,Expense
2024-04-05,Entertainment,Insurance premium,2191,Expense
2024-04-05,Shopping,Doctor visit,262,Expense
2024-04-05,Insurance,Movie,2582,Expense
2024-04-05,Groceries,Bus fare,2935,Expense
2024-04-05,Education,Bus fare,1457,Expense
2024-04-05,Miscellaneous,Snacks,3990,Expense
2024-04-05,Healthcare,Doctor visit,3127,Income
2024-04-05,Entertainment,Bus fare,4360,Expense
2024-04-05,Miscellaneous,Movie,3379,Expense
2024-04-05,Groceries,Doctor visit,4164,Expense
2024-04-05,Education,Snacks,1225,Expense
2024-04-05,Shopping,Online course,1983,Income
2024-04-06,Entertainment,Monthly bill,3237,Expense
2024-04-06,Miscellaneous,Online course,121,Expense
2024-04-06,Utilities,Bought items,4042,Expense
2024-04-06,Utilities,Snacks,3898,Income
2024-04-06,Entertainment,Maintenance,1030,Income
2024-04-06,Healthcare,New clothes,3971,Income
2024-04-06,Groceries,Online course,392,Expense
2024-04-06,Healthcare,Maintenance,2408,Expense
2024-04-06,Transport,Monthly bill,967,Expense
2024-04-06,Transport,Insurance premium,4218,Expense
2024-04-06,Groceries,Bought items,4212,Income
2024-04-06,Healthcare,New clothes,4626,Expense
2024-04-06,Insurance,New clothes,3925,Expense
2024-04-06,Shopping,New clothes,3707,Expense
2024-04-06,Entertainment,Insurance premium,1655,Income
2024-04-06,Groceries,Bought items,3104,Expense
2024-04-06,Healthcare,Insurance premium,4287,Expense
2024-04-06,Entertainment,Monthly bill,2765,Expense
2024-04-06,Miscellaneous,Bought items,4782,Income
2024-04-06,Transport,Maintenance,1019,Expense
2024-04-06,Rent,Insurance premium,2067,Expense
2024-04-06,Miscellaneous,Snacks,1944,Expense
2024-04-06,Insurance,Doctor visit,1594,Expense
2024-04-06,Rent,Bought items,4137,Expense
2024-04-06,Shopping,Movie,1287,Expense
2024-04-06,Entertainment,Doctor visit,1684,Expense
2024-04-06,Utilities,Bought items,1577,Expense
2024-04-06,Groceries,Movie,2026,Expense
2024-04-06,Shopping,Doctor visit,3939,Expense
2024-04-06,Transport,Bus fare,1072,Expense
2024-04-06,Miscellaneous,Movie,1269,Expense
2024-04-06,Utilities,Online course,1261,Expense
2024-04-06,Healthcare,Maintenance,2132,Expense
2024-04-06,Miscellaneous,Snacks,1276,Expense
2024-04-06,Education,Snacks,1729,Expense
2024-04-06,Rent,Online course,1167,Expense
2024-04-06,Insurance,Monthly bill,2656,Expense
2024-04-06,Utilities,Maintenance,1013,Expense
2024-04-06,Entertainment,Maintenance,546,Expense
2024-04-06,Education,New clothes,2103,Expense
2024-04-06,Transport,Maintenance,739,Expense
2024-04-06,Healthcare,New clothes,3813,Expense
2024-04-06,Transport,Maintenance,1201,Expense
2024-04-06,Transport,Monthly bill,1756,Expense
2024-04-06,Miscellaneous,Bought items,3117,Expense
2024-04-07,Shopping,Monthly bill,1260,Expense
2024-04-07,Entertainment,Online course,1860,Income
2024-04-07,Insurance,New clothes,3576,Expense
2024-04-07,Miscellaneous,Bus fare,3844,Expense
2024-04-07,Transport,Maintenance,1559,Expense
2024-04-07,Entertainment,Online course,4392,Income
2024-04-07,Healthcare,Bus fare,4733,Expense
2024-04-07,Education,New clothes,574,Expense
2024-04-07,Rent,Online course,3903,Expense
2024-04-07,Education,Insurance premium,1092,Income
2024-04-07,Insurance,Bought items,986,Expense
2024-04-07,Utilities,Bus fare,2786,Expense
2024-04-07,Utilities,Snacks,4284,Expense
2024-04-07,Shopping,Monthly bill,1108,Income
2024-04-07,Miscellaneous,Insurance premium,2626,Expense
2024-04-07,Transport,Doctor visit,3059,Expense
2024-04-07,Healthcare,Bus fare,4115,Income
2024-04-07,Healthcare,Online course,1103,Expense
2024-04-07,Shopping,New clothes,2240,Expense
2024-04-07,Miscellaneous,Bought items,286,Expense
2024-04-07,Utilities,Snacks,4821,Expense
2024-04-07,Entertainment,Snacks,1538,Expense
2024-04-07,Rent,Doctor visit,2528,Expense
2024-04-07,Transport,Bus fare,2986,Expense
2024-04-07,Transport,Doctor visit,3487,Expense
2024-04-07,Groceries,Bought items,4663,Expense
2024-04-07,Miscellaneous,Monthly bill,3215,Expense
2024-04-07,Healthcare,Doctor visit,1360,Expense
2024-04-07,Healthcare,Insurance premium,3385,Income
2024-04-07,Transport,Insurance premium,1286,Expense
2024-04-07,Rent,New clothes,2274,Income
2024-04-07,Utilities,Maintenance,4626,Expense
2024-04-07,Transport,Maintenance,1486,Expense
2024-04-07,Rent,Snacks,2146,Expense
2024-04-07,Miscellaneous,New clothes,4486,Income
2024-04-07,Healthcare,Online course,1114,Income
2024-04-07,Education,Maintenance,3597,Expense
2024-04-07,Healthcare,Online course,1224,Expense
2024-04-07,Entertainment,Online course,2084,Expense
2024-04-07,Groceries,Doctor visit,1105,Expense
2024-04-07,Rent,New clothes,4643,Expense
2024-04-07,Insurance,Monthly bill,526,Expense
2024-04-07,Insurance,Snacks,346,Income
2024-04-07,Shopping,Online course,1569,Expense
2024-04-07,Rent,Monthly bill,3813,Expense
2024-04-07,Transport,Monthly bill,3340,Expense
2024-04-07,Transport,Insurance premium,3739,Expense
2024-04-07,Utilities,Monthly bill,4318,Expense
2024-04-07,Groceries,Movie,2230,Expense
2024-04-07,Education,Movie,2614,Expense
2024-04-07,Groceries,Online course,741,Income
2024-04-08,Groceries,New clothes,184,Expense
2024-04-08,Miscellaneous,Bus fare,594,Expense
2024-04-08,Shopping,Doctor visit,4313,Expense
2024-04-08,Rent,New clothes,3697,Expense
2024-04-08,Miscellaneous,Bus fare,4621,Expense
2024-04-08,Transport,New clothes,4067,Expense
2024-04-08,Healthcare,New clothes,354,Expense
2024-04-08,Groceries,Insurance premium,3315,Expense
2024-04-08,Healthcare,Movie,490,Expense
2024-04-08,Rent,Doctor visit,4161,Expense
2024-04-08,Education,Doctor visit,2098,Income
2024-04-08,Miscellaneous,Doctor visit,3292,Expense
2024-04-08,Shopping,Insurance premium,3332,Expense
2024-04-08,Utilities,Bus fare,2597,Expense
2024-04-08,Miscellaneous,Snacks,1405,Expense
2024-04-08,Entertainment,New clothes,1136,Expense
2024-04-08,Shopping,Snacks,3261,Expense
2024-04-08,Transport,Monthly bill,2681,Expense
2024-04-08,Miscellaneous,Bought items,3144,Expense
2024-04-08,Utilities,Online course,2904,Expense
2024-04-08,Utilities,Maintenance,898,Expense
2024-04-08,Groceries,Online course,3203,Expense
2024-04-08,Groceries,Online course,452,Expense
2024-04-08,Healthcare,Bought items,344,Expense
2024-04-08,Education,Maintenance,2045,Expense
2024-04-08,Education,Doctor visit,1851,Expense
2024-04-08,Rent,Online course,2808,Expense
2024-04-08,Transport,Online course,2857,Expense
2024-04-08,Shopping,Monthly bill,1501,Expense
2024-04-08,Miscellaneous,New clothes,3775,Expense
2024-04-08,Utilities,Snacks,2803,Expense
2024-04-08,Miscellaneous,New clothes,3510,Expense
2024-04-08,Education,Bus fare,1864,Expense
2024-04-08,Rent,Online course,3407,Expense
2024-04-08,Education,Monthly bill,435,Expense
2024-04-08,Insurance,Monthly bill,3875,Expense
2024-04-08,Transport,Bought items,4279,Expense
2024-04-08,Shopping,Doctor visit,2730,Expense
2024-04-08,Entertainment,Doctor visit,1064,Expense
2024-04-08,Insurance,New clothes,3183,Expense
2024-04-08,Groceries,New clothes,4833,Expense
2024-04-08,Utilities,Insurance premium,3918,Expense
2024-04-08,Transport,Snacks,4773,Expense
2024-04-08,Insurance,Insurance premium,3198,Expense
2024-04-08,Healthcare,Movie,4223,Expense
2024-04-08,Groceries,Bought items,3372,Expense
2024-04-08,Miscellaneous,Online course,4957,Income
2024-04-08,Shopping,Bus fare,4178,Expense
2024-04-08,Insurance,Monthly bill,2475,Expense
2024-04-08,Transport,Monthly bill,1311,Expense
2024-04-08,Transport,Bus fare,3893,Expense
2024-04-08,Miscellaneous,Maintenance,2232,Income
2024-04-08,Transport,Maintenance,3786,Expense
2024-04-08,Rent,Insurance premium,1441,Income
2024-04-08,Utilities,Maintenance,4346,Expense
2024-04-08,Rent,Bus fare,681,Expense
2024-04-08,Rent,Snacks,2466,Expense
2024-04-08,Healthcare,Bus fare,3691,Expense
2024-04-08,Transport,Online course,2626,Expense
2024-04-08,Insurance,Online course,942,Expense
2024-04-08,Education,Monthly bill,2341,Income
2024-04-08,Utilities,Monthly bill,2966,Expense
2024-04-08,Rent,Insurance premium,1136,Expense
2024-04-08,Shopping,Insurance premium,592,Expense
2024-04-08,Miscellaneous,Doctor visit,3112,Expense
2024-04-08,Miscellaneous,Movie,2392,Expense
2024-04-08,Utilities,Maintenance,4929,Expense
2024-04-08,Utilities,Insurance premium,2826,Expense
2024-04-08,Education,Doctor visit,4774,Expense
2024-04-09,Insurance,Bus fare,3252,Income
2024-04-09,Entertainment,Bought items,4512,Expense
2024-04-09,Utilities,Online course,2309,Expense
2024-04-09,Miscellaneous,Bus fare,1752,Expense
2024-04-09,Entertainment,Maintenance,3427,Expense
2024-04-09,Transport,Bus fare,3677,Expense
2024-04-09,Miscellaneous,New clothes,1277,Expense
2024-04-09,Shopping,Bought items,290,Expense
2024-04-09,Education,Bought items,1491,Income
2024-04-09,Healthcare,Online course,3677,Expense
2024-04-09,Groceries,Maintenance,1363,Expense
2024-04-09,Miscellaneous,Insurance premium,492,Expense
2024-04-09,Shopping,Doctor visit,1975,Expense
2024-04-09,Healthcare,Movie,4211,Expense
2024-04-09,Education,Bus fare,2369,Expense
2024-04-09,Rent,Bus fare,4215,Expense
2024-04-09,Shopping,Monthly bill,4410,Income
2024-04-09,Shopping,Monthly bill,2747,Expense
2024-04-09,Healthcare,Doctor visit,4959,Expense
2024-04-09,Entertainment,Insurance premium,3101,Expense
2024-04-09,Utilities,Online course,533,Expense
2024-04-09,Miscellaneous,Insurance premium,3082,Expense
2024-04-09,Transport,Bus fare,4312,Expense
2024-04-09,Entertainment,Maintenance,102,Income
2024-04-09,Shopping,Movie,4337,Expense
2024-04-09,Insurance,Online course,4171,Income
2024-04-09,Entertainment,Snacks,4300,Expense
2024-04-09,Miscellaneous,Insurance premium,2497,Expense
2024-04-09,Shopping,Maintenance,2159,Expense
2024-04-09,Miscellaneous,Maintenance,1521,Income
2024-04-09,Groceries,Insurance premium,4179,Income
2024-04-09,Healthcare,Bus fare,2675,Expense
2024-04-09,Healthcare,Online course,4585,Income
2024-04-09,Education,Snacks,2330,Expense
2024-04-09,Utilities,New clothes,1501,Expense
2024-04-09,Healthcare,Movie,4543,Expense
2024-04-09,Education,Bought items,3399,Expense
2024-04-09,Miscellaneous,Maintenance,4585,Expense
2024-04-09,Shopping,Bought items,214,Expense
2024-04-09,Education,Monthly bill,4986,Expense
2024-04-09,Transport,Bus fare,1238,Expense
2024-04-09,Groceries,Online course,292,Expense
2024-04-09,Transport,Bought items,1183,Expense
2024-04-09,Insurance,New clothes,2833,Expense
2024-04-09,Utilities,Online course,4865,Expense
2024-04-09,Utilities,Insurance premium,4536,Expense
2024-04-09,Utilities,Online course,1270,Expense
2024-04-09,Entertainment,Snacks,2140,Expense
2024-04-09,Utilities,Doctor visit,4040,Expense
2024-04-09,Utilities,Bought items,459,Income
2024-04-09,Transport,Doctor visit,4796,Expense
2024-04-09,Healthcare,Snacks,2579,Expense
2024-04-09,Groceries,New clothes,997,Income
2024-04-09,Insurance,Insurance premium,3656,Expense
2024-04-09,Miscellaneous,Snacks,1572,Expense
2024-04-09,Groceries,Doctor visit,1807,Expense
2024-04-10,Miscellaneous,Bus fare,4116,Expense
2024-04-10,Utilities,Bus fare,2394,Expense
2024-04-10,Miscellaneous,Online course,4357,Expense
2024-04-10,Insurance,Bus fare,1411,Expense
2024-04-10,Education,Bus fare,2884,Expense
2024-04-10,Entertainment,Bus fare,2406,Expense
2024-04-10,Shopping,Bought items,1396,Expense
2024-04-10,Education,Bus fare,4902,Expense
2024-04-10,Transport,Insurance premium,1383,Expense
2024-04-10,Utilities,Movie,556,Expense
2024-04-10,Education,Snacks,3017,Expense
2024-04-10,Insurance,New clothes,3168,Expense
2024-04-10,Education,Doctor visit,1520,Income
2024-04-10,Insurance,Insurance premium,139,Expense
2024-04-10,Healthcare,New clothes,1357,Income
2024-04-10,Miscellaneous,Movie,370,Expense
2024-04-10,Rent,Bus fare,1231,Expense
2024-04-10,Education,Bus fare,4435,Expense
2024-04-10,Groceries,New clothes,3218,Expense
2024-04-10,Entertainment,Bought items,4276,Expense
2024-04-10,Insurance,Movie,3301,Expense
2024-04-10,Transport,Movie,4811,Expense
2024-04-10,Groceries,Bus fare,2899,Expense
2024-04-10,Entertainment,Bus fare,4819,Expense
2024-04-10,Entertainment,Bought items,4020,Expense
2024-04-10,Transport,Monthly bill,4250,Expense
2024-04-10,Groceries,Bus fare,1081,Income
2024-04-10,Miscellaneous,New clothes,1068,Expense
2024-04-10,Shopping,Insurance premium,4765,Expense
2024-04-10,Insurance,Doctor visit,3939,Income
2024-04-10,Rent,Bus fare,2779,Expense
2024-04-10,Miscellaneous,Bought items,1503,Expense
2024-04-10,Entertainment,Bus fare,1294,Expense
2024-04-10,Transport,Bus fare,1082,Expense
2024-04-10,Utilities,Bought items,2168,Income
2024-04-10,Shopping,Bus fare,353,Expense
2024-04-10,Miscellaneous,Movie,3835,Expense
2024-04-10,Utilities,Insurance premium,4054,Expense
2024-04-10,Miscellaneous,Bought items,3338,Expense
2024-04-11,Miscellaneous,Online course,4555,Expense
2024-04-11,Utilities,Bought items,3062,Expense
2024-04-11,Shopping,Monthly bill,1189,Income
2024-04-11,Transport,New clothes,1452,Expense
2024-04-11,Transport,Monthly bill,1539,Income
2024-04-11,Shopping,Movie,4013,Expense
2024-04-11,Groceries,Maintenance,1276,Income
2024-04-11,Shopping,Insurance premium,2404,Expense
2024-04-11,Entertainment,Bus fare,455,Expense
2024-04-11,Education,New clothes,4454,Expense
2024-04-11,Insurance,Bought items,2909,Expense
2024-04-11,Education,Maintenance,4775,Expense
2024-04-11,Healthcare,Movie,271,Expense
2024-04-11,Transport,Snacks,2205,Income
2024-04-11,Insurance,Bus fare,1577,Expense
2024-04-11,Miscellaneous,Online course,1728,Income
2024-04-11,Utilities,Bus fare,4764,Expense
2024-04-11,Transport,Movie,2821,Expense
2024-04-11,Miscellaneous,Monthly bill,3883,Expense
2024-04-11,Entertainment,Insurance premium,732,Expense
2024-04-11,Miscellaneous,Movie,342,Expense
2024-04-11,Miscellaneous,Snacks,3356,Expense
2024-04-11,Shopping,Bus fare,195,Expense
2024-04-11,Groceries,Bought items,943,Expense
2024-04-11,Insurance,New clothes,4272,Expense
2024-04-11,Miscellaneous,Online course,1087,Expense
2024-04-11,Utilities,Movie,973,Income
2024-04-11,Entertainment,Maintenance,1876,Expense
2024-04-11,Education,Bought items,1460,Expense
2024-04-11,Insurance,Monthly bill,3426,Expense
2024-04-11,Shopping,Doctor visit,2910,Expense
